task_id,test_idx,n_views,n_unique_grids,view_level_accuracy,top1_share,top2_share,top1_top2_gap,vote_entropy,top1_correct
3194b014,0,510,4,0.9901960784313726,0.9901960784313726,0.0058823529411764705,0.984313725490196,0.06441495385550663,True
319f2597,0,510,72,0.6176470588235294,0.6176470588235294,0.12549019607843137,0.492156862745098,1.8812070635900096,True
31adaf00,0,510,69,0.17450980392156862,0.3333333333333333,0.17450980392156862,0.1588235294117647,2.456915516665316,False
31d5ba1a,0,510,41,0.9098039215686274,0.9098039215686274,0.00392156862745098,0.9058823529411765,0.6320103366993484,True
31d5ba1a,1,510,30,0.9196078431372549,0.9196078431372549,0.011764705882352941,0.907843137254902,0.5371351102511612,True
32e9702f,0,510,135,0.029411764705882353,0.10588235294117647,0.09803921568627451,0.00784313725490196,3.9273668098470327,False
332efdb3,0,510,223,0.16470588235294117,0.2,0.16470588235294117,0.03529411764705882,4.209123819006955,False
3391f8c0,0,510,120,0.596078431372549,0.596078431372549,0.025490196078431372,0.5705882352941176,2.463557801288296,True
33b52de3,0,510,217,0.5137254901960784,0.5137254901960784,0.0058823529411764705,0.5078431372549019,3.2827231333334552,True
3490cc26,0,510,125,0.0,0.21372549019607842,0.16470588235294117,0.049019607843137254,3.4247999115303025,False
34b99a2b,0,510,57,0.8509803921568627,0.8509803921568627,0.00980392156862745,0.8411764705882353,1.0033543146506296,True
351d6448,0,510,385,0.0,0.01568627450980392,0.013725490196078431,0.00196078431372549,5.8157995050909905,False
358ba94e,0,510,22,0.46078431372549017,0.46078431372549017,0.18627450980392157,0.27450980392156865,1.828931479672818,True
37d3e8b2,0,510,263,0.00196078431372549,0.19607843137254902,0.13137254901960785,0.06470588235294118,4.427118044482646,False
3979b1a8,0,510,67,0.8274509803921568,0.8274509803921568,0.00980392156862745,0.8176470588235294,1.164014111815607,True
3a301edc,0,510,187,0.025490196078431372,0.503921568627451,0.025490196078431372,0.47843137254901963,3.15478670291229,False
